mass1	mass2	mass3
4.46e+09	4.75e+09	6.93e+09
1.16e+10	4.84e+09	5.38e+09
5.94e+09	1.32e+10	8.79e+09
4.76e+09	5.12e+09	2.27e+09
7.65e+09	2.69e+09	2.89e+09
2.53e+08	1.82e+09	4.21e+09
5.31e+09	2.52e+09	3.12e+09
1.5e+09	3.09e+09	7.76e+09
3.11e+09	1.72e+10	3.53e+09
5e+09	6.91e+09	1.17e+10
5.44e+09	6e+09	6.51e+09
1.22e+10	1.03e+10	5.99e+09
5.36e+09	3.89e+09	5.83e+09
2.78e+09	2.93e+09	5.03e+08
2.07e+09	3.99e+09	5.44e+09
2.54e+09	3.07e+09	1.68e+09
4.23e+09	9.67e+09	3.48e+09
1.73e+10	4.38e+09	4.78e+09
6.42e+09	9.76e+09	5.96e+09
6.37e+09	6.49e+09	1.08e+10
8.13e+09	6.29e+09	5.71e+09
3.76e+09	9.56e+09	2.93e+09
4.14e+09	5.02e+08	2.36e+09
4.98e+09	5.16e+09	2.05e+09
3.66e+09	1.51e+09	7.06e+09
1.56e+10	1.12e+10	1.66e+10
4.47e+09	3.39e+09	5.03e+09
5.01e+09	9.82e+09	3.62e+09
1.27e+10	7.39e+09	8.31e+09
4.06e+09	6.12e+09	2.28e+09
3.22e+09	2.61e+09	3.12e+09
6.63e+08	3.38e+09	3.23e+09
5.42e+09	2.1e+09	4.95e+09
3e+09	2.26e+09	1.3e+10
4.86e+09	8.78e+09	4.41e+09
3.15e+09	5.12e+09	5.33e+09
1.04e+10	5.3e+09	1.09e+10
6.38e+09	1.04e+10	4.21e+09
6.48e+09	2.85e+09	5.02e+09
3.99e+09	5.44e+09	9.4e+08
3.26e+09	2.98e+09	4.51e+09
2.6e+09	5.32e+09	2.82e+09
2.81e+09	1.97e+10	3.76e+09
1.28e+10	4.19e+09	3.37e+09
4.11e+09	5.74e+09	1.04e+10
5.17e+09	1.17e+10	5.71e+09
1.06e+10	4.31e+09	6.86e+09
3.14e+09	4.32e+09	4.99e+09
6.62e+09	1.34e+09	3.53e+09
3.02e+09	3.76e+09	2.59e+09
5.14e+09	2.94e+09	3.07e+09
2.02e+10	3.49e+09	1.85e+10
6.65e+09	5.4e+09	3.02e+09
1.32e+10	1.58e+10	8.77e+09
2.21e+09	9.81e+09	1.56e+10
4.12e+09	3.92e+09	6.37e+09
5.41e+09	3.44e+09	5.96e+09
1.42e+09	2.64e+09	5.38e+08
4.42e+09	4.12e+09	1.05e+10
2.02e+09	5.13e+09	2.33e+09
2.6e+09	4.69e+09	5.71e+09
5.49e+09	3.55e+09	1.6e+10
1.5e+10	7.57e+09	2.4e+09
1.24e+10	1.63e+10	3.78e+09
3.5e+09	5.75e+09	4.3e+09
3.76e+09	6.87e+09	7.03e+08
2.18e+09	6.33e+08	5.62e+09
4.78e+09	9.95e+09	3.79e+09
5.72e+09	3.25e+09	2.39e+09
5.06e+09	4.32e+09	4.44e+09
4.16e+09	1.57e+10	1.37e+10
8.56e+09	1.68e+09	1.37e+10
1.69e+10	3.86e+09	3.7e+09
6.95e+09	2.63e+09	7.96e+09
7.01e+09	8.84e+08	2.31e+09
6.25e+08	6.5e+09	5.14e+09
9.36e+09	4.04e+09	7.01e+09
6.9e+09	3.2e+09	5.08e+09
3.2e+09	1.66e+09	2.91e+09
2.31e+09	1.67e+10	9.83e+09
4.94e+09	1.13e+10	1.6e+10
9.93e+09	3.29e+09	8.62e+09
1.18e+09	4.71e+09	4.33e+09
1.72e+09	3.1e+09	3.55e+09
2.5e+09	3.57e+09	6.37e+09
1.94e+09	2.12e+09	7.55e+09
9.53e+09	4.22e+09	3.26e+09
1.98e+09	3.26e+09	1.97e+09
1.51e+10	9.8e+09	5.66e+09
1.18e+10	1.18e+10	9.58e+09
3.54e+09	1.04e+10	1.54e+09
6.3e+09	3.85e+09	2.26e+09
3.61e+09	4.41e+09	2.67e+09
2.75e+09	5.97e+09	2.35e+09
2.25e+09	1.26e+10	1.1e+10
4.3e+09	2.8e+09	2.02e+09
2.78e+09	2.08e+09	1.26e+10
8.94e+09	6.26e+09	1.17e+10
1.2e+10	9.21e+09	2.17e+09
7.99e+09	2.66e+09	1e+10
7.95e+09	2.01e+09	2.8e+09
5.39e+09	2.54e+09	3.51e+09
5.81e+09	3.18e+09	3.46e+09
1.53e+10	1.09e+10	4.36e+09
4.5384e+09	2.07e+10	1.24e+10
3.83e+09	1.74e+10	8.45e+09
1.3e+10	9.69e+09	2.15e+10
8.55e+09	5.03e+09	1.29e+10
4.63e+09	7.24e+09	5.05e+09
8.41e+08	9.7e+09	5.41e+09
8.72e+09	3.47e+09	3.99e+09
8.58e+09	4.25e+09	8.79e+09
3.94e+09	3.8e+09	4.1259e+09
2.18e+10	1.24e+10	3.81e+09
1.87e+10	8.81e+09	1.37e+10
8.96e+09	2.04e+10	8.72e+09
5.47e+09	1.29e+10	9.11e+09
6.83e+09	4.47e+09	1.03e+09
9.28e+09	5.28e+09	8.4e+09
3.14e+09	3.79e+09	1.06e+10
5.41e+09	1.25e+10	4.52e+09
3.84e+09	3.86e+09	2.15e+10
1.21e+10	3.07e+09	2.11e+10
9.77e+09	1.42e+10	9.02e+09
1.45e+10	1.01e+10	6.31e+09
1.53e+10	7.74e+09	7.67e+09
5.07e+09	2.03e+09	1.1e+10
4.93e+09	7.66e+09	2.25e+09
4.72e+09	1.28e+10	9.02e+09
1.47e+10	5.73e+09	3.28e+09
