sampleID	isIncluded	subjectID	measurementid	perturbid
1	1	2	1.0	0
2	1	2	1.5	0
3	1	2	2.0	0
4	1	2	2.5	0
5	1	2	3.0	0
6	1	2	3.5	0
7	1	2	4.0	0
8	1	2	4.5	0
9	1	2	5.0	0
10	1	2	6.0	0
11	1	2	7.0	0
12	1	2	8.0	0
13	1	2	9.0	0
14	1	2	10.0	0
15	1	2	11.0	0
16	1	2	14.0	0
17	1	2	16.0	0
18	1	2	18.0	0
19	1	2	21.0	0
20	1	2	21.5	0
21	1	2	22.0	1
22	1	2	22.5	1
23	1	2	23.0	1
24	1	2	23.5	1
25	1	2	24.0	1
26	1	2	25.0	1
27	1	2	28.0	1
28	1	2	28.5	1
29	1	2	29.0	0
30	1	2	29.5	0
31	1	2	30.0	0
32	1	2	30.5	0
33	1	2	31.0	0
34	1	2	31.5	0
35	1	2	32.0	0
36	1	2	33.0	0
37	1	2	35.0	0
38	1	2	35.5	0
39	1	2	36.0	2
40	1	2	36.5	2
41	1	2	37.0	2
42	1	2	37.5	2
43	1	2	38.0	2
44	1	2	39.0	2
45	1	2	42.0	2
46	1	2	42.5	2
47	1	2	43.0	0
48	1	2	43.5	0
49	1	2	44.0	0
50	1	2	44.5	0
51	1	2	45.0	0
52	1	2	45.5	0
53	1	2	46.0	0
54	1	2	47.0	0
55	1	2	50.0	0
56	1	2	50.5	0
57	1	2	51.0	3
58	1	2	51.5	3
59	1	2	52.0	3
60	1	2	52.5	3
61	1	2	53.0	3
62	1	2	54.0	3
63	1	2	57.0	3
64	1	2	57.5	3
65	1	2	58.0	0
66	1	2	58.5	0
67	1	2	59.0	0
68	1	2	59.5	0
69	1	2	60.0	0
70	1	2	60.5	0
71	1	2	61.0	0
72	1	2	62.0	0
73	1	2	63.0	0
74	1	2	64.0	0
75	1	2	64.5	0
76	1	3	1.0	0
77	1	3	1.5	0
78	1	3	2.0	0
79	1	3	2.5	0
80	1	3	3.0	0
81	1	3	3.5	0
82	1	3	4.0	0
83	1	3	4.5	0
84	1	3	5.0	0
85	1	3	6.0	0
86	1	3	7.0	0
87	1	3	8.0	0
88	1	3	9.0	0
89	1	3	10.0	0
90	1	3	11.0	0
91	1	3	14.0	0
92	1	3	16.0	0
93	1	3	18.0	0
94	1	3	21.0	0
95	1	3	21.5	0
96	1	3	22.0	1
97	1	3	22.5	1
98	1	3	23.0	1
99	1	3	23.5	1
100	1	3	24.0	1
101	1	3	25.0	1
102	1	3	28.0	1
103	1	3	29.0	0
104	1	3	29.5	0
105	1	3	30.0	0
106	1	3	30.5	0
107	1	3	31.0	0
108	1	3	31.5	0
109	1	3	32.0	0
110	1	3	33.0	0
111	1	3	35.0	0
112	1	3	35.5	0
113	1	3	36.0	2
114	1	3	36.5	2
115	1	3	37.0	2
116	1	3	38.0	2
117	1	3	39.0	2
118	1	3	42.0	2
119	1	3	42.5	2
120	1	3	43.0	0
121	1	3	43.5	0
122	1	3	44.0	0
123	1	3	44.5	0
124	1	3	45.0	0
125	1	3	45.5	0
126	1	3	46.0	0
127	1	3	47.0	0
128	1	3	50.0	0
129	1	3	50.5	0
130	1	3	51.0	3
131	1	3	51.5	3
132	1	3	52.0	3
133	1	3	52.5	3
134	1	3	53.0	3
135	1	3	54.0	3
136	1	3	57.0	3
137	1	3	57.5	3
138	1	3	58.0	0
139	1	3	58.5	0
140	1	3	59.0	0
141	1	3	59.5	0
142	1	3	60.0	0
143	1	3	60.5	0
144	1	3	61.0	0
145	1	3	62.0	0
146	1	3	63.0	0
147	1	3	64.0	0
148	1	3	64.5	0
149	1	4	1.0	0
150	1	4	1.5	0
151	1	4	2.0	0
152	1	4	2.5	0
153	1	4	3.0	0
154	1	4	3.5	0
155	1	4	4.0	0
156	1	4	4.5	0
157	1	4	5.0	0
158	1	4	6.0	0
159	1	4	7.0	0
160	1	4	8.0	0
161	1	4	9.0	0
162	1	4	10.0	0
163	1	4	11.0	0
164	1	4	14.0	0
165	1	4	16.0	0
166	1	4	18.0	0
167	1	4	21.0	0
168	1	4	21.5	0
169	1	4	22.0	1
170	1	4	22.5	1
171	1	4	23.0	1
172	1	4	23.5	1
173	1	4	24.0	1
174	1	4	25.0	1
175	1	4	28.0	1
176	1	4	29.0	0
177	1	4	29.5	0
178	1	4	30.0	0
179	1	4	30.5	0
180	1	4	31.0	0
181	1	4	31.5	0
182	1	4	32.0	0
183	1	4	33.0	0
184	1	4	35.0	0
185	1	4	35.5	0
186	1	4	36.0	2
187	1	4	36.5	2
188	1	4	37.0	2
189	1	4	37.5	2
190	1	4	38.0	2
191	1	4	39.0	2
192	1	4	42.0	2
193	1	4	42.5	2
194	1	4	43.0	0
195	1	4	43.5	0
196	1	4	44.0	0
197	1	4	44.5	0
198	1	4	45.0	0
199	1	4	45.5	0
200	1	4	46.0	0
201	1	4	47.0	0
202	1	4	50.0	0
203	1	4	50.5	0
204	1	4	51.0	3
205	1	4	51.5	3
206	1	4	52.0	3
207	1	4	52.5	3
208	1	4	53.0	3
209	1	4	54.0	3
210	1	4	57.0	3
211	1	4	57.5	3
212	1	4	58.0	0
213	1	4	58.5	0
214	1	4	59.0	0
215	1	4	59.5	0
216	1	4	60.0	0
217	1	4	60.5	0
218	1	4	61.0	0
219	1	4	62.0	0
220	1	4	63.0	0
221	1	4	64.0	0
222	1	4	64.5	0
223	1	5	1.0	0
224	1	5	1.5	0
225	1	5	2.0	0
226	1	5	2.5	0
227	1	5	3.0	0
228	1	5	3.5	0
229	1	5	4.0	0
230	1	5	4.5	0
231	1	5	5.0	0
232	1	5	6.0	0
233	1	5	7.0	0
234	1	5	8.0	0
235	1	5	9.0	0
236	1	5	10.0	0
237	1	5	11.0	0
238	1	5	14.0	0
239	1	5	16.0	0
240	1	5	18.0	0
241	1	5	21.0	0
242	1	5	21.5	0
243	1	5	22.0	1
244	1	5	22.5	1
245	1	5	23.0	1
246	1	5	23.5	1
247	1	5	24.0	1
248	1	5	25.0	1
249	1	5	28.0	1
250	1	5	28.5	1
251	1	5	29.0	0
252	1	5	29.5	0
253	1	5	30.0	0
254	1	5	30.5	0
255	1	5	31.0	0
256	1	5	31.5	0
257	1	5	32.0	0
258	1	5	33.0	0
259	1	5	35.0	0
260	1	5	35.5	0
261	1	5	36.0	2
262	1	5	36.5	2
263	1	5	37.0	2
264	1	5	37.5	2
265	1	5	38.0	2
266	1	5	39.0	2
267	1	5	42.0	2
268	1	5	42.5	2
269	1	5	43.0	0
270	1	5	43.5	0
271	1	5	44.0	0
272	1	5	44.5	0
273	1	5	45.0	0
274	1	5	45.5	0
275	1	5	46.0	0
276	1	5	47.0	0
277	1	5	50.0	0
278	1	5	50.5	0
279	1	5	51.0	3
280	1	5	51.5	3
281	1	5	52.0	3
282	1	5	52.5	3
283	1	5	53.0	3
284	1	5	54.0	3
285	1	5	57.0	3
286	1	5	57.5	3
287	1	5	58.0	0
288	1	5	58.5	0
289	1	5	59.0	0
290	1	5	59.5	0
291	1	5	60.0	0
292	1	5	60.5	0
293	1	5	61.0	0
294	1	5	62.0	0
295	1	5	63.0	0
296	1	5	64.0	0
297	1	5	64.5	0
